"acfrequency";"r Z";"i Z"
1.79473e+09;6.20086;46.9533
1.79887e+09;6.16981;47.1175
1.80302e+09;6.13884;47.282
1.80717e+09;6.10795;47.447
1.81134e+09;6.07715;47.6123
1.81552e+09;6.04642;47.778
1.8197e+09;6.01578;47.9441
1.8239e+09;5.98522;48.1106
1.8281e+09;5.95474;48.2774
1.83231e+09;5.92434;48.4447
1.83654e+09;5.89403;48.6123
1.84077e+09;5.8638;48.7803
1.84502e+09;5.83365;48.9486
1.84927e+09;5.80359;49.1174
1.85353e+09;5.7736;49.2866
1.8578e+09;5.7437;49.4561
1.86209e+09;5.71389;49.626
1.86638e+09;5.68415;49.7963
1.87068e+09;5.6545;49.967
1.87499e+09;5.62494;50.1381
1.87932e+09;5.59545;50.3095
1.88365e+09;5.56605;50.4814
1.88799e+09;5.53674;50.6536
1.89234e+09;5.5075;50.8262
1.89671e+09;5.47836;50.9993
1.90108e+09;5.44929;51.1727
1.90546e+09;5.42031;51.3465
1.90985e+09;5.39141;51.5206
1.91426e+09;5.3626;51.6952
1.91867e+09;5.33387;51.8702
1.92309e+09;5.30523;52.0455
1.92752e+09;5.27667;52.2213
1.93197e+09;5.24819;52.3974
1.93642e+09;5.2198;52.574
1.94089e+09;5.1915;52.7509
1.94536e+09;5.16328;52.9282
1.94984e+09;5.13514;53.1059
1.95434e+09;5.10709;53.284
1.95884e+09;5.07912;53.4625
1.96336e+09;5.05124;53.6414
1.96789e+09;5.02344;53.8207
1.97242e+09;4.99573;54.0004
1.97697e+09;4.9681;54.1805
1.98153e+09;4.94056;54.361
1.98609e+09;4.91311;54.5419
1.99067e+09;4.88574;54.7232
1.99526e+09;4.85845;54.9049
1.99986e+09;4.83125;55.087
2.00447e+09;4.80414;55.2695
2.00909e+09;4.77711;55.4523
2.01372e+09;4.75016;55.6356
2.01837e+09;4.7233;55.8193
2.02302e+09;4.69653;56.0034
2.02768e+09;4.66984;56.1879
2.03236e+09;4.64324;56.3728
2.03704e+09;4.61673;56.5581
2.04174e+09;4.5903;56.7438
2.04644e+09;4.56395;56.93
2.05116e+09;4.5377;57.1165
2.05589e+09;4.51152;57.3034
2.06063e+09;4.48544;57.4907
2.06538e+09;4.45944;57.6785
2.07014e+09;4.43352;57.8666
2.07491e+09;4.40769;58.0552
2.0797e+09;4.38195;58.2442
2.08449e+09;4.3563;58.4335
2.0893e+09;4.33072;58.6233
2.09411e+09;4.30524;58.8135
2.09894e+09;4.27984;59.0041
2.10378e+09;4.25453;59.1951
2.10863e+09;4.2293;59.3866
2.11349e+09;4.20416;59.5784
2.11836e+09;4.17911;59.7707
2.12324e+09;4.15414;59.9634
2.12814e+09;4.12926;60.1565
2.13304e+09;4.10447;60.35
2.13796e+09;4.07976;60.5439
2.14289e+09;4.05514;60.7382
2.14783e+09;4.0306;60.933
2.15278e+09;4.00615;61.1281
2.15774e+09;3.98179;61.3237
2.16272e+09;3.95751;61.5197
2.1677e+09;3.93332;61.7162
2.1727e+09;3.90921;61.913
2.17771e+09;3.88519;62.1103
2.18273e+09;3.86126;62.308
2.18776e+09;3.83741;62.5061
2.1928e+09;3.81365;62.7046
2.19786e+09;3.78998;62.9036
2.20293e+09;3.76639;63.103
2.208e+09;3.74289;63.3028
2.21309e+09;3.71948;63.503
2.2182e+09;3.69615;63.7037
2.22331e+09;3.6729;63.9048
2.22844e+09;3.64975;64.1063
