"acfrequency";"number";"r Ganho";"i Ganho"
4.89779e+07;1;0.0103674;0
4.93174e+07;1;0.0105115;0
4.96592e+07;1;0.0106576;0
5.00035e+07;1;0.0108057;0
5.03501e+07;1;0.0109559;0
5.06991e+07;1;0.0111081;0
5.10505e+07;1;0.0112625;0
5.14044e+07;1;0.011419;0
5.17607e+07;1;0.0115777;0
5.21195e+07;1;0.0117386;0
5.24807e+07;1;0.0119017;0
5.28445e+07;1;0.0120671;0
5.32108e+07;1;0.0122348;0
5.35797e+07;1;0.0124048;0
5.39511e+07;1;0.0125772;0
5.4325e+07;1;0.0127519;0
5.47016e+07;1;0.0129291;0
5.50808e+07;1;0.0131088;0
5.54626e+07;1;0.0132909;0
5.5847e+07;1;0.0134756;0
5.62341e+07;1;0.0136628;0
5.66239e+07;1;0.0138526;0
5.70164e+07;1;0.0140451;0
5.74116e+07;1;0.0142402;0
5.78096e+07;1;0.0144381;0
5.82103e+07;1;0.0146387;0
5.86138e+07;1;0.014842;0
5.90201e+07;1;0.0150482;0
5.94292e+07;1;0.0152573;0
5.98412e+07;1;0.0154692;0
6.0256e+07;1;0.0156841;0
6.06736e+07;1;0.015902;0
6.10942e+07;1;0.0161229;0
6.15177e+07;1;0.0163468;0
6.19441e+07;1;0.0165739;0
6.23735e+07;1;0.0168041;0
6.28058e+07;1;0.0170375;0
6.32412e+07;1;0.0172742;0
6.36796e+07;1;0.0175141;0
6.4121e+07;1;0.0177573;0
6.45654e+07;1;0.0180039;0
6.5013e+07;1;0.018254;0
6.54636e+07;1;0.0185075;0
6.59174e+07;1;0.0187645;0
6.63743e+07;1;0.0190251;0
6.68344e+07;1;0.0192893;0
6.72977e+07;1;0.0195572;0
6.77642e+07;1;0.0198287;0
6.82339e+07;1;0.0201041;0
6.87068e+07;1;0.0203832;0
6.91831e+07;1;0.0206663;0
6.96627e+07;1;0.0209532;0
7.01455e+07;1;0.0212441;0
7.06318e+07;1;0.0215391;0
7.11214e+07;1;0.0218381;0
7.16143e+07;1;0.0221413;0
7.21107e+07;1;0.0224487;0
7.26106e+07;1;0.0227603;0
7.31139e+07;1;0.0230763;0
7.36207e+07;1;0.0233966;0
7.4131e+07;1;0.0237214;0
7.46449e+07;1;0.0240507;0
7.51623e+07;1;0.0243845;0
7.56833e+07;1;0.0247229;0
7.62079e+07;1;0.0250661;0
7.67361e+07;1;0.025414;0
7.72681e+07;1;0.0257667;0
7.78037e+07;1;0.0261243;0
7.8343e+07;1;0.0264868;0
7.8886e+07;1;0.0268544;0
7.94328e+07;1;0.027227;0
7.99834e+07;1;0.0276048;0
8.05378e+07;1;0.0279878;0
8.10961e+07;1;0.0283762;0
8.16582e+07;1;0.0287699;0
8.22243e+07;1;0.029169;0
8.27942e+07;1;0.0295737;0
8.33681e+07;1;0.029984;0
8.3946e+07;1;0.0303999;0
8.45279e+07;1;0.0308216;0
8.51138e+07;1;0.0312492;0
8.57038e+07;1;0.0316826;0
8.62979e+07;1;0.0321221;0
8.6896e+07;1;0.0325676;0
8.74984e+07;1;0.0330192;0
8.81049e+07;1;0.0334772;0
8.87156e+07;1;0.0339414;0
8.93305e+07;1;0.0344121;0
8.99498e+07;1;0.0348893;0
9.05733e+07;1;0.035373;0
9.12011e+07;1;0.0358635;0
9.18333e+07;1;0.0363607;0
9.24698e+07;1;0.0368648;0
9.31108e+07;1;0.0373759;0
9.37562e+07;1;0.037894;0
9.44061e+07;1;0.0384192;0
9.50605e+07;1;0.0389518;0
9.57194e+07;1;0.0394917;0
9.63829e+07;1;0.040039;0
9.7051e+07;1;0.0405939;0
9.77237e+07;1;0.0411564;0
9.84011e+07;1;0.0417267;0
9.90832e+07;1;0.0423049;0
9.977e+07;1;0.0428911;0
1.00462e+08;1;0.0434853;0
1.01158e+08;1;0.0440878;0
1.01859e+08;1;0.0446986;0
1.02565e+08;1;0.0453177;0
1.03276e+08;1;0.0459455;0
1.03992e+08;1;0.0465818;0
1.04713e+08;1;0.047227;0
1.05439e+08;1;0.047881;0
1.0617e+08;1;0.0485441;0
1.06905e+08;1;0.0492163;0
1.07647e+08;1;0.0498977;0
1.08393e+08;1;0.0505886;0
1.09144e+08;1;0.0512889;0
1.09901e+08;1;0.0519989;0
1.10662e+08;1;0.0527187;0
1.11429e+08;1;0.0534484;0
1.12202e+08;1;0.0541881;0
1.1298e+08;1;0.0549381;0
1.13763e+08;1;0.0556983;0
1.14551e+08;1;0.056469;0
