"acfrequency";"number";"r Zin";"i Zin"
1.72187e+09;1;0.3711;-16.637
1.72584e+09;1;0.3711;-16.5848
1.72982e+09;1;0.3711;-16.5327
1.7338e+09;1;0.3711;-16.4806
1.7378e+09;1;0.3711;-16.4287
1.74181e+09;1;0.3711;-16.3768
1.74582e+09;1;0.3711;-16.325
1.74985e+09;1;0.3711;-16.2733
1.75388e+09;1;0.3711;-16.2217
1.75792e+09;1;0.3711;-16.1702
1.76198e+09;1;0.3711;-16.1188
1.76604e+09;1;0.3711;-16.0674
1.77011e+09;1;0.3711;-16.0162
1.77419e+09;1;0.3711;-15.965
1.77828e+09;1;0.3711;-15.9139
1.78238e+09;1;0.3711;-15.8629
1.78649e+09;1;0.3711;-15.812
1.79061e+09;1;0.3711;-15.7611
1.79473e+09;1;0.3711;-15.7104
1.79887e+09;1;0.3711;-15.6597
1.80302e+09;1;0.3711;-15.6091
1.80717e+09;1;0.3711;-15.5586
1.81134e+09;1;0.3711;-15.5082
1.81552e+09;1;0.3711;-15.4578
1.8197e+09;1;0.3711;-15.4076
1.8239e+09;1;0.3711;-15.3574
1.8281e+09;1;0.3711;-15.3073
1.83231e+09;1;0.3711;-15.2573
1.83654e+09;1;0.3711;-15.2074
1.84077e+09;1;0.3711;-15.1575
1.84502e+09;1;0.3711;-15.1077
1.84927e+09;1;0.3711;-15.058
1.85353e+09;1;0.3711;-15.0084
1.8578e+09;1;0.3711;-14.9589
1.86209e+09;1;0.3711;-14.9094
1.86638e+09;1;0.3711;-14.86
1.87068e+09;1;0.3711;-14.8107
1.87499e+09;1;0.3711;-14.7615
1.87932e+09;1;0.3711;-14.7124
1.88365e+09;1;0.3711;-14.6633
1.88799e+09;1;0.3711;-14.6143
1.89234e+09;1;0.3711;-14.5654
1.89671e+09;1;0.3711;-14.5166
1.90108e+09;1;0.3711;-14.4678
1.90546e+09;1;0.3711;-14.4192
1.90985e+09;1;0.3711;-14.3706
1.91426e+09;1;0.3711;-14.322
1.91867e+09;1;0.3711;-14.2736
1.92309e+09;1;0.3711;-14.2252
1.92752e+09;1;0.3711;-14.1769
1.93197e+09;1;0.3711;-14.1287
1.93642e+09;1;0.3711;-14.0805
1.94089e+09;1;0.3711;-14.0325
1.94536e+09;1;0.3711;-13.9845
1.94984e+09;1;0.3711;-13.9366
1.95434e+09;1;0.3711;-13.8887
1.95884e+09;1;0.3711;-13.8409
1.96336e+09;1;0.3711;-13.7932
1.96789e+09;1;0.3711;-13.7456
1.97242e+09;1;0.3711;-13.698
1.97697e+09;1;0.3711;-13.6505
1.98153e+09;1;0.3711;-13.6031
1.98609e+09;1;0.3711;-13.5558
1.99067e+09;1;0.3711;-13.5085
1.99526e+09;1;0.3711;-13.4613
1.99986e+09;1;0.3711;-13.4142
2.00447e+09;1;0.3711;-13.3672
2.00909e+09;1;0.3711;-13.3202
2.01372e+09;1;0.3711;-13.2733
2.01837e+09;1;0.3711;-13.2264
2.02302e+09;1;0.3711;-13.1796
2.02768e+09;1;0.3711;-13.1329
2.03236e+09;1;0.3711;-13.0863
2.03704e+09;1;0.3711;-13.0397
2.04174e+09;1;0.3711;-12.9932
2.04644e+09;1;0.3711;-12.9468
2.05116e+09;1;0.3711;-12.9005
2.05589e+09;1;0.3711;-12.8542
2.06063e+09;1;0.3711;-12.808
2.06538e+09;1;0.3711;-12.7618
2.07014e+09;1;0.3711;-12.7157
2.07491e+09;1;0.3711;-12.6697
2.0797e+09;1;0.3711;-12.6238
2.08449e+09;1;0.3711;-12.5779
2.0893e+09;1;0.3711;-12.5321
