"acfrequency";"r Zin";"i Zin"
3.92645e+09;0.3711;-1.7165
3.9355e+09;0.3711;-1.68074
3.94457e+09;0.3711;-1.64499
3.95367e+09;0.3711;-1.60925
3.96278e+09;0.3711;-1.57351
3.97192e+09;0.3711;-1.53779
3.98107e+09;0.3711;-1.50207
3.99025e+09;0.3711;-1.46636
3.99945e+09;0.3711;-1.43066
4.00867e+09;0.3711;-1.39497
4.01791e+09;0.3711;-1.35928
4.02717e+09;0.3711;-1.3236
4.03645e+09;0.3711;-1.28793
4.04576e+09;0.3711;-1.25227
4.05509e+09;0.3711;-1.21661
4.06443e+09;0.3711;-1.18096
4.0738e+09;0.3711;-1.14531
4.08319e+09;0.3711;-1.10967
4.09261e+09;0.3711;-1.07404
4.10204e+09;0.3711;-1.03841
4.1115e+09;0.3711;-1.00279
4.12098e+09;0.3711;-0.967172
4.13048e+09;0.3711;-0.93156
4.14e+09;0.3711;-0.895953
4.14954e+09;0.3711;-0.860351
4.15911e+09;0.3711;-0.824753
4.16869e+09;0.3711;-0.78916
4.1783e+09;0.3711;-0.75357
4.18794e+09;0.3711;-0.717985
4.19759e+09;0.3711;-0.682404
4.20727e+09;0.3711;-0.646826
4.21697e+09;0.3711;-0.611252
4.22669e+09;0.3711;-0.575681
4.23643e+09;0.3711;-0.540113
4.2462e+09;0.3711;-0.504548
4.25598e+09;0.3711;-0.468985
4.2658e+09;0.3711;-0.433425
4.27563e+09;0.3711;-0.397868
4.28549e+09;0.3711;-0.362312
4.29536e+09;0.3711;-0.326759
4.30527e+09;0.3711;-0.291207
4.31519e+09;0.3711;-0.255656
4.32514e+09;0.3711;-0.220107
4.33511e+09;0.3711;-0.18456
4.3451e+09;0.3711;-0.149013
4.35512e+09;0.3711;-0.113467
4.36516e+09;0.3711;-0.0779211
4.37522e+09;0.3711;-0.0423761
4.38531e+09;0.3711;-0.00683124
4.39542e+09;0.3711;0.0287135
4.40555e+09;0.3711;0.0642585
4.4157e+09;0.3711;0.0998038
4.42588e+09;0.3711;0.13535
4.43609e+09;0.3711;0.170896
4.44631e+09;0.3711;0.206444
4.45656e+09;0.3711;0.241992
4.46684e+09;0.3711;0.277542
4.47713e+09;0.3711;0.313093
4.48745e+09;0.3711;0.348646
4.4978e+09;0.3711;0.384201
4.50817e+09;0.3711;0.419758
4.51856e+09;0.3711;0.455317
4.52898e+09;0.3711;0.490878
4.53942e+09;0.3711;0.526442
4.54988e+09;0.3711;0.562009
4.56037e+09;0.3711;0.597579
4.57088e+09;0.3711;0.633152
4.58142e+09;0.3711;0.668728
4.59198e+09;0.3711;0.704308
4.60257e+09;0.3711;0.739892
4.61318e+09;0.3711;0.77548
4.62381e+09;0.3711;0.811071
4.63447e+09;0.3711;0.846667
4.64515e+09;0.3711;0.882268
4.65586e+09;0.3711;0.917873
4.66659e+09;0.3711;0.953483
4.67735e+09;0.3711;0.989098
4.68813e+09;0.3711;1.02472
4.69894e+09;0.3711;1.06034
4.70977e+09;0.3711;1.09598
4.72063e+09;0.3711;1.13161
4.73151e+09;0.3711;1.16726
4.74242e+09;0.3711;1.20291
4.75335e+09;0.3711;1.23856
4.76431e+09;0.3711;1.27422
4.77529e+09;0.3711;1.30989
4.7863e+09;0.3711;1.34557
4.79733e+09;0.3711;1.38125
4.80839e+09;0.3711;1.41694
4.81948e+09;0.3711;1.45264
4.83059e+09;0.3711;1.48835
4.84172e+09;0.3711;1.52406
4.85289e+09;0.3711;1.55978
4.86407e+09;0.3711;1.59551
4.87528e+09;0.3711;1.63125
4.88652e+09;0.3711;1.667
4.89779e+09;0.3711;1.70275
4.90908e+09;0.3711;1.73852
4.9204e+09;0.3711;1.77429
4.93174e+09;0.3711;1.81007
4.94311e+09;0.3711;1.84587
4.9545e+09;0.3711;1.88167
4.96592e+09;0.3711;1.91748
4.97737e+09;0.3711;1.95331
4.98884e+09;0.3711;1.98914
5.00035e+09;0.3711;2.02498
5.01187e+09;0.3711;2.06084
5.02343e+09;0.3711;2.0967
5.03501e+09;0.3711;2.13258
5.04661e+09;0.3711;2.16847
5.05825e+09;0.3711;2.20437
5.06991e+09;0.3711;2.24028
5.08159e+09;0.3711;2.2762
5.09331e+09;0.3711;2.31214
5.10505e+09;0.3711;2.34809
5.11682e+09;0.3711;2.38405
5.12861e+09;0.3711;2.42002
5.14044e+09;0.3711;2.456
5.15229e+09;0.3711;2.492
5.16416e+09;0.3711;2.52801
5.17607e+09;0.3711;2.56404
5.188e+09;0.3711;2.60008
5.19996e+09;0.3711;2.63613
5.21195e+09;0.3711;2.6722
5.22396e+09;0.3711;2.70828
5.236e+09;0.3711;2.74437
5.24807e+09;0.3711;2.78048
5.26017e+09;0.3711;2.8166
5.2723e+09;0.3711;2.85274
5.28445e+09;0.3711;2.8889
5.29663e+09;0.3711;2.92507
5.30884e+09;0.3711;2.96125
5.32108e+09;0.3711;2.99745
5.33335e+09;0.3711;3.03367
5.34564e+09;0.3711;3.0699
5.35797e+09;0.3711;3.10615
5.37032e+09;0.3711;3.14242
5.3827e+09;0.3711;3.1787
5.39511e+09;0.3711;3.215
5.40754e+09;0.3711;3.25131
5.42001e+09;0.3711;3.28765
5.4325e+09;0.3711;3.324
5.44503e+09;0.3711;3.36037
5.45758e+09;0.3711;3.39675
5.47016e+09;0.3711;3.43316
5.48277e+09;0.3711;3.46958
5.49541e+09;0.3711;3.50602
