"acfrequency";"T";"r Pin";"i Pin"
5.6242e+09;-55;0.0044848;-0.258073
5.644e+09;-55;0.00435803;-0.2544
5.6638e+09;-55;0.00423687;-0.25084
5.6836e+09;-55;0.00412099;-0.247387
5.7034e+09;-55;0.00401008;-0.244036
5.7232e+09;-55;0.00390386;-0.240783
5.743e+09;-55;0.00380205;-0.237624
5.7628e+09;-55;0.00370443;-0.234554
5.7826e+09;-55;0.00361074;-0.23157
5.8024e+09;-55;0.00352079;-0.228668
5.8222e+09;-55;0.00343437;-0.225844
5.842e+09;-55;0.00335129;-0.223097
5.8618e+09;-55;0.00327139;-0.220421
5.8816e+09;-55;0.00319449;-0.217816
5.9014e+09;-55;0.00312044;-0.215277
5.9212e+09;-55;0.00304911;-0.212803
5.941e+09;-55;0.00298035;-0.210391
5.9608e+09;-55;0.00291405;-0.208038
5.9806e+09;-55;0.00285009;-0.205742
6.0004e+09;-55;0.00278834;-0.203502
6.0202e+09;-55;0.00272872;-0.201315
6.04e+09;-55;0.00267112;-0.199179
6.0598e+09;-55;0.00261545;-0.197093
6.0796e+09;-55;0.00256162;-0.195054
6.0994e+09;-55;0.00250955;-0.193062
6.1192e+09;-55;0.00245916;-0.191114
6.139e+09;-55;0.00241038;-0.18921
6.1588e+09;-55;0.00236313;-0.187346
6.1786e+09;-55;0.00231736;-0.185524
6.1984e+09;-55;0.00227301;-0.18374
6.2182e+09;-55;0.00223;-0.181993
6.238e+09;-55;0.00218829;-0.180284
6.2578e+09;-55;0.00214782;-0.178609
6.2776e+09;-55;0.00210855;-0.176969
6.2974e+09;-55;0.00207042;-0.175362
6.3172e+09;-55;0.00203339;-0.173787
6.337e+09;-55;0.00199742;-0.172243
6.3568e+09;-55;0.00196246;-0.170729
6.3766e+09;-55;0.00192848;-0.169245
6.3964e+09;-55;0.00189545;-0.167789
6.4162e+09;-55;0.00186331;-0.166361
6.436e+09;-55;0.00183205;-0.16496
6.4558e+09;-55;0.00180162;-0.163584
6.4756e+09;-55;0.00177201;-0.162234
6.4954e+09;-55;0.00174317;-0.160909
6.5152e+09;-55;0.00171509;-0.159608
6.535e+09;-55;0.00168773;-0.15833
6.5548e+09;-55;0.00166106;-0.157074
6.5746e+09;-55;0.00163508;-0.155841
6.5944e+09;-55;0.00160974;-0.154629
6.6142e+09;-55;0.00158504;-0.153438
6.634e+09;-55;0.00156094;-0.152267
6.6538e+09;-55;0.00153743;-0.151116
6.6736e+09;-55;0.00151449;-0.149985
6.6934e+09;-55;0.00149209;-0.148872
6.7132e+09;-55;0.00147023;-0.147777
6.733e+09;-55;0.00144889;-0.146701
6.7528e+09;-55;0.00142804;-0.145641
6.7726e+09;-55;0.00140767;-0.144599
6.7924e+09;-55;0.00138777;-0.143573
6.8122e+09;-55;0.00136832;-0.142564
6.832e+09;-55;0.00134931;-0.14157
6.8518e+09;-55;0.00133072;-0.140592
6.8716e+09;-55;0.00131255;-0.139629
