"acfrequency";"r Ganho";"i Ganho"
2.25424e+06;1;-0.00221635
2.25944e+06;1;-0.00222146
2.26464e+06;1;-0.00222658
2.26986e+06;1;-0.00223172
2.2751e+06;1;-0.00223686
2.28034e+06;1;-0.00224202
2.2856e+06;1;-0.00224719
2.29087e+06;1;-0.00225237
2.29615e+06;1;-0.00225756
2.30144e+06;1;-0.00226276
2.30675e+06;1;-0.00226798
2.31206e+06;1;-0.00227321
2.31739e+06;1;-0.00227845
2.32274e+06;1;-0.0022837
2.32809e+06;1;-0.00228896
2.33346e+06;1;-0.00229424
2.33884e+06;1;-0.00229953
2.34423e+06;1;-0.00230483
2.34963e+06;1;-0.00231014
2.35505e+06;1;-0.00231547
2.36048e+06;1;-0.00232081
2.36592e+06;1;-0.00232616
2.37137e+06;1;-0.00233152
2.37684e+06;1;-0.00233689
2.38232e+06;1;-0.00234228
2.38781e+06;1;-0.00234768
2.39332e+06;1;-0.00235309
2.39883e+06;1;-0.00235852
2.40436e+06;1;-0.00236396
2.40991e+06;1;-0.0023694
2.41546e+06;1;-0.00237487
2.42103e+06;1;-0.00238034
2.42661e+06;1;-0.00238583
2.4322e+06;1;-0.00239133
2.43781e+06;1;-0.00239684
2.44343e+06;1;-0.00240237
2.44906e+06;1;-0.0024079
2.45471e+06;1;-0.00241346
2.46037e+06;1;-0.00241902
2.46604e+06;1;-0.0024246
2.47172e+06;1;-0.00243019
2.47742e+06;1;-0.00243579
2.48313e+06;1;-0.0024414
2.48886e+06;1;-0.00244703
2.49459e+06;1;-0.00245267
2.50035e+06;1;-0.00245833
2.50611e+06;1;-0.00246399
2.51189e+06;1;-0.00246967
2.51768e+06;1;-0.00247537
2.52348e+06;1;-0.00248107
2.5293e+06;1;-0.00248679
2.53513e+06;1;-0.00249252
2.54097e+06;1;-0.00249827
2.54683e+06;1;-0.00250403
2.5527e+06;1;-0.0025098
2.55859e+06;1;-0.00251559
2.56448e+06;1;-0.00252139
2.5704e+06;1;-0.0025272
2.57632e+06;1;-0.00253303
2.58226e+06;1;-0.00253887
2.58821e+06;1;-0.00254472
2.59418e+06;1;-0.00255058
2.60016e+06;1;-0.00255646
2.60615e+06;1;-0.00256236
2.61216e+06;1;-0.00256826
2.61818e+06;1;-0.00257418
2.62422e+06;1;-0.00258012
2.63027e+06;1;-0.00258607
2.63633e+06;1;-0.00259203
2.64241e+06;1;-0.002598
2.6485e+06;1;-0.00260399
2.65461e+06;1;-0.00261
2.66073e+06;1;-0.00261601
2.66686e+06;1;-0.00262204
2.67301e+06;1;-0.00262809
2.67917e+06;1;-0.00263415
2.68534e+06;1;-0.00264022
2.69153e+06;1;-0.0026463
2.69774e+06;1;-0.00265241
2.70396e+06;1;-0.00265852
2.71019e+06;1;-0.00266465
2.71644e+06;1;-0.00267079
2.7227e+06;1;-0.00267695
2.72898e+06;1;-0.00268312
2.73527e+06;1;-0.0026893
2.74157e+06;1;-0.0026955
2.74789e+06;1;-0.00270172
2.75423e+06;1;-0.00270795
2.76058e+06;1;-0.00271419
2.76694e+06;1;-0.00272045
2.77332e+06;1;-0.00272672
2.77971e+06;1;-0.002733
2.78612e+06;1;-0.0027393
2.79254e+06;1;-0.00274562
2.79898e+06;1;-0.00275195
2.80543e+06;1;-0.00275829
2.8119e+06;1;-0.00276465
2.81838e+06;1;-0.00277102
2.82488e+06;1;-0.00277741
2.83139e+06;1;-0.00278381
2.83792e+06;1;-0.00279023
2.84446e+06;1;-0.00279666
2.85102e+06;1;-0.00280311
2.85759e+06;1;-0.00280957
2.86418e+06;1;-0.00281605
2.87078e+06;1;-0.00282254
2.8774e+06;1;-0.00282905
2.88403e+06;1;-0.00283557
2.89068e+06;1;-0.00284211
2.89734e+06;1;-0.00284866
2.90402e+06;1;-0.00285523
2.91072e+06;1;-0.00286181
2.91743e+06;1;-0.0028684
2.92415e+06;1;-0.00287502
2.93089e+06;1;-0.00288164
2.93765e+06;1;-0.00288829
2.94442e+06;1;-0.00289495
2.95121e+06;1;-0.00290162
2.95801e+06;1;-0.00290831
2.96483e+06;1;-0.00291501
2.97167e+06;1;-0.00292173
2.97852e+06;1;-0.00292847
2.98538e+06;1;-0.00293522
2.99226e+06;1;-0.00294199
2.99916e+06;1;-0.00294877
3.00608e+06;1;-0.00295557
3.01301e+06;1;-0.00296238
3.01995e+06;1;-0.00296921
3.02691e+06;1;-0.00297605
3.03389e+06;1;-0.00298291
3.04089e+06;1;-0.00298979
