"acfrequency";"number";"r Pin";"i Pin"
1.8578e+06;1;1.21698e-09;5.48628e-05
1.86209e+06;1;1.22214e-09;5.49893e-05
1.86638e+06;1;1.22732e-09;5.5116e-05
1.87068e+06;1;1.23252e-09;5.52431e-05
1.87499e+06;1;1.23775e-09;5.53704e-05
1.87932e+06;1;1.243e-09;5.54981e-05
1.88365e+06;1;1.24828e-09;5.5626e-05
1.88799e+06;1;1.25358e-09;5.57542e-05
1.89234e+06;1;1.2589e-09;5.58828e-05
1.89671e+06;1;1.26425e-09;5.60116e-05
1.90108e+06;1;1.26962e-09;5.61407e-05
1.90546e+06;1;1.27502e-09;5.62701e-05
1.90985e+06;1;1.28045e-09;5.63998e-05
1.91426e+06;1;1.2859e-09;5.65298e-05
1.91867e+06;1;1.29137e-09;5.66602e-05
1.92309e+06;1;1.29687e-09;5.67908e-05
1.92752e+06;1;1.30239e-09;5.69217e-05
1.93197e+06;1;1.30794e-09;5.70529e-05
1.93642e+06;1;1.31352e-09;5.71844e-05
1.94089e+06;1;1.31912e-09;5.73163e-05
1.94536e+06;1;1.32475e-09;5.74484e-05
1.94984e+06;1;1.3304e-09;5.75808e-05
1.95434e+06;1;1.33608e-09;5.77136e-05
1.95884e+06;1;1.34179e-09;5.78466e-05
1.96336e+06;1;1.34752e-09;5.79799e-05
1.96789e+06;1;1.35328e-09;5.81136e-05
1.97242e+06;1;1.35906e-09;5.82476e-05
1.97697e+06;1;1.36487e-09;5.83818e-05
1.98153e+06;1;1.37071e-09;5.85164e-05
1.98609e+06;1;1.37658e-09;5.86513e-05
1.99067e+06;1;1.38247e-09;5.87865e-05
1.99526e+06;1;1.38839e-09;5.8922e-05
1.99986e+06;1;1.39433e-09;5.90579e-05
2.00447e+06;1;1.40031e-09;5.9194e-05
2.00909e+06;1;1.40631e-09;5.93305e-05
2.01372e+06;1;1.41234e-09;5.94672e-05
2.01837e+06;1;1.4184e-09;5.96043e-05
2.02302e+06;1;1.42448e-09;5.97417e-05
2.02768e+06;1;1.4306e-09;5.98795e-05
2.03236e+06;1;1.43674e-09;6.00175e-05
2.03704e+06;1;1.44291e-09;6.01558e-05
2.04174e+06;1;1.44911e-09;6.02945e-05
2.04644e+06;1;1.45533e-09;6.04335e-05
2.05116e+06;1;1.46159e-09;6.05728e-05
2.05589e+06;1;1.46788e-09;6.07125e-05
2.06063e+06;1;1.47419e-09;6.08524e-05
2.06538e+06;1;1.48053e-09;6.09927e-05
2.07014e+06;1;1.4869e-09;6.11333e-05
2.07491e+06;1;1.49331e-09;6.12742e-05
2.0797e+06;1;1.49974e-09;6.14155e-05
2.08449e+06;1;1.5062e-09;6.15571e-05
2.0893e+06;1;1.51269e-09;6.1699e-05
2.09411e+06;1;1.51921e-09;6.18412e-05
2.09894e+06;1;1.52576e-09;6.19837e-05
2.10378e+06;1;1.53234e-09;6.21266e-05
2.10863e+06;1;1.53895e-09;6.22699e-05
2.11349e+06;1;1.54559e-09;6.24134e-05
2.11836e+06;1;1.55227e-09;6.25573e-05
2.12324e+06;1;1.55897e-09;6.27015e-05
2.12814e+06;1;1.56571e-09;6.2846e-05
2.13304e+06;1;1.57247e-09;6.29909e-05
2.13796e+06;1;1.57927e-09;6.31361e-05
2.14289e+06;1;1.5861e-09;6.32817e-05
2.14783e+06;1;1.59295e-09;6.34275e-05
2.15278e+06;1;1.59985e-09;6.35738e-05
2.15774e+06;1;1.60677e-09;6.37203e-05
2.16272e+06;1;1.61372e-09;6.38672e-05
2.1677e+06;1;1.62071e-09;6.40144e-05
2.1727e+06;1;1.62773e-09;6.4162e-05
2.17771e+06;1;1.63478e-09;6.43099e-05
2.18273e+06;1;1.64187e-09;6.44581e-05
2.18776e+06;1;1.64898e-09;6.46067e-05
2.1928e+06;1;1.65613e-09;6.47557e-05
2.19786e+06;1;1.66332e-09;6.4905e-05
2.20293e+06;1;1.67053e-09;6.50546e-05
2.208e+06;1;1.67778e-09;6.52045e-05
2.21309e+06;1;1.68506e-09;6.53549e-05
2.2182e+06;1;1.69238e-09;6.55055e-05
2.22331e+06;1;1.69973e-09;6.56565e-05
2.22844e+06;1;1.70711e-09;6.58079e-05
2.23357e+06;1;1.71453e-09;6.59596e-05
2.23872e+06;1;1.72198e-09;6.61116e-05
2.24388e+06;1;1.72947e-09;6.6264e-05
2.24905e+06;1;1.73699e-09;6.64168e-05
2.25424e+06;1;1.74455e-09;6.65699e-05
2.25944e+06;1;1.75214e-09;6.67233e-05
2.26464e+06;1;1.75977e-09;6.68772e-05
2.26986e+06;1;1.76743e-09;6.70313e-05
2.2751e+06;1;1.77512e-09;6.71859e-05
2.28034e+06;1;1.78285e-09;6.73407e-05
2.2856e+06;1;1.79062e-09;6.7496e-05
2.29087e+06;1;1.79843e-09;6.76516e-05
2.29615e+06;1;1.80627e-09;6.78075e-05
2.30144e+06;1;1.81414e-09;6.79638e-05
2.30675e+06;1;1.82205e-09;6.81205e-05
2.31206e+06;1;1.83e-09;6.82775e-05
2.31739e+06;1;1.83799e-09;6.84349e-05
2.32274e+06;1;1.84601e-09;6.85927e-05
2.32809e+06;1;1.85407e-09;6.87508e-05
2.33346e+06;1;1.86217e-09;6.89093e-05
2.33884e+06;1;1.8703e-09;6.90682e-05
2.34423e+06;1;1.87847e-09;6.92274e-05
2.34963e+06;1;1.88668e-09;6.9387e-05
2.35505e+06;1;1.89493e-09;6.95469e-05
2.36048e+06;1;1.90321e-09;6.97072e-05
2.36592e+06;1;1.91153e-09;6.98679e-05
2.37137e+06;1;1.9199e-09;7.0029e-05
2.37684e+06;1;1.9283e-09;7.01904e-05
2.38232e+06;1;1.93674e-09;7.03522e-05
2.38781e+06;1;1.94521e-09;7.05144e-05
2.39332e+06;1;1.95373e-09;7.0677e-05
2.39883e+06;1;1.96229e-09;7.08399e-05
2.40436e+06;1;1.97088e-09;7.10032e-05
2.40991e+06;1;1.97952e-09;7.11669e-05
2.41546e+06;1;1.98819e-09;7.13309e-05
2.42103e+06;1;1.99691e-09;7.14954e-05
2.42661e+06;1;2.00567e-09;7.16602e-05
2.4322e+06;1;2.01446e-09;7.18254e-05
2.43781e+06;1;2.0233e-09;7.19909e-05
2.44343e+06;1;2.03218e-09;7.21569e-05
2.44906e+06;1;2.04109e-09;7.23232e-05
2.45471e+06;1;2.05005e-09;7.249e-05
2.46037e+06;1;2.05906e-09;7.26571e-05
2.46604e+06;1;2.0681e-09;7.28246e-05
2.47172e+06;1;2.07718e-09;7.29924e-05
2.47742e+06;1;2.08631e-09;7.31607e-05
2.48313e+06;1;2.09548e-09;7.33294e-05
2.48886e+06;1;2.10469e-09;7.34984e-05
2.49459e+06;1;2.11394e-09;7.36678e-05
2.50035e+06;1;2.12324e-09;7.38377e-05
2.50611e+06;1;2.13258e-09;7.40079e-05
2.51189e+06;1;2.14196e-09;7.41785e-05
2.51768e+06;1;2.15138e-09;7.43495e-05
2.52348e+06;1;2.16085e-09;7.45209e-05
2.5293e+06;1;2.17036e-09;7.46927e-05
2.53513e+06;1;2.17992e-09;7.48648e-05
2.54097e+06;1;2.18952e-09;7.50374e-05
2.54683e+06;1;2.19917e-09;7.52104e-05
2.5527e+06;1;2.20885e-09;7.53838e-05
2.55859e+06;1;2.21859e-09;7.55576e-05
2.56448e+06;1;2.22837e-09;7.57317e-05
2.5704e+06;1;2.23819e-09;7.59063e-05
2.57632e+06;1;2.24806e-09;7.60813e-05
2.58226e+06;1;2.25798e-09;7.62567e-05
2.58821e+06;1;2.26794e-09;7.64325e-05
2.59418e+06;1;2.27794e-09;7.66087e-05
2.60016e+06;1;2.288e-09;7.67853e-05
2.60615e+06;1;2.2981e-09;7.69623e-05
2.61216e+06;1;2.30824e-09;7.71397e-05
2.61818e+06;1;2.31844e-09;7.73175e-05
2.62422e+06;1;2.32867e-09;7.74957e-05
2.63027e+06;1;2.33896e-09;7.76744e-05
2.63633e+06;1;2.3493e-09;7.78535e-05
2.64241e+06;1;2.35968e-09;7.80329e-05
2.6485e+06;1;2.37011e-09;7.82128e-05
2.65461e+06;1;2.38059e-09;7.83931e-05
2.66073e+06;1;2.39111e-09;7.85738e-05
2.66686e+06;1;2.40169e-09;7.8755e-05
2.67301e+06;1;2.41231e-09;7.89365e-05
2.67917e+06;1;2.42299e-09;7.91185e-05
2.68534e+06;1;2.43371e-09;7.93009e-05
2.69153e+06;1;2.44448e-09;7.94837e-05
2.69774e+06;1;2.4553e-09;7.96669e-05
2.70396e+06;1;2.46617e-09;7.98505e-05
2.71019e+06;1;2.4771e-09;8.00346e-05
2.71644e+06;1;2.48807e-09;8.02191e-05
2.7227e+06;1;2.49909e-09;8.0404e-05
2.72898e+06;1;2.51016e-09;8.05894e-05
2.73527e+06;1;2.52129e-09;8.07752e-05
2.74157e+06;1;2.53247e-09;8.09614e-05
2.74789e+06;1;2.54369e-09;8.1148e-05
2.75423e+06;1;2.55497e-09;8.13351e-05
2.76058e+06;1;2.5663e-09;8.15226e-05
2.76694e+06;1;2.57769e-09;8.17105e-05
2.77332e+06;1;2.58913e-09;8.18989e-05
2.77971e+06;1;2.60061e-09;8.20877e-05
2.78612e+06;1;2.61216e-09;8.22769e-05
2.79254e+06;1;2.62375e-09;8.24666e-05
2.79898e+06;1;2.6354e-09;8.26567e-05
2.80543e+06;1;2.6471e-09;8.28472e-05
2.8119e+06;1;2.65886e-09;8.30382e-05
2.81838e+06;1;2.67067e-09;8.32296e-05
2.82488e+06;1;2.68254e-09;8.34215e-05
2.83139e+06;1;2.69446e-09;8.36138e-05
2.83792e+06;1;2.70643e-09;8.38065e-05
2.84446e+06;1;2.71847e-09;8.39997e-05
