"acfrequency";"number";"r tang";"i tang"
2.90402e+09;1;0.0566425;0
2.91072e+09;1;0.0569782;0
2.91743e+09;1;0.0573176;0
2.92415e+09;1;0.0576607;0
2.93089e+09;1;0.0580076;0
2.93765e+09;1;0.0583585;0
2.94442e+09;1;0.0587132;0
2.95121e+09;1;0.0590721;0
2.95801e+09;1;0.059435;0
2.96483e+09;1;0.059802;0
2.97167e+09;1;0.0601734;0
2.97852e+09;1;0.060549;0
2.98538e+09;1;0.060929;0
2.99226e+09;1;0.0613135;0
2.99916e+09;1;0.0617026;0
3.00608e+09;1;0.0620963;0
3.01301e+09;1;0.0624947;0
3.01995e+09;1;0.0628979;0
3.02691e+09;1;0.0633061;0
3.03389e+09;1;0.0637192;0
3.04089e+09;1;0.0641374;0
3.04789e+09;1;0.0645608;0
3.05492e+09;1;0.0649894;0
3.06196e+09;1;0.0654235;0
3.06902e+09;1;0.065863;0
3.0761e+09;1;0.0663081;0
3.08319e+09;1;0.066759;0
3.0903e+09;1;0.0672156;0
3.09742e+09;1;0.0676782;0
3.10456e+09;1;0.0681468;0
3.11172e+09;1;0.0686216;0
3.11889e+09;1;0.0691026;0
3.12608e+09;1;0.0695901;0
3.13329e+09;1;0.0700842;0
3.14051e+09;1;0.0705849;0
3.14775e+09;1;0.0710925;0
3.155e+09;1;0.071607;0
3.16228e+09;1;0.0721287;0
3.16957e+09;1;0.0726576;0
3.17687e+09;1;0.0731939;0
3.1842e+09;1;0.0737378;0
3.19154e+09;1;0.0742895;0
3.1989e+09;1;0.0748491;0
3.20627e+09;1;0.0754168;0
3.21366e+09;1;0.0759927;0
3.22107e+09;1;0.0765771;0
3.22849e+09;1;0.0771702;0
3.23594e+09;1;0.0777721;0
3.2434e+09;1;0.078383;0
3.25087e+09;1;0.0790032;0
3.25837e+09;1;0.0796329;0
3.26588e+09;1;0.0802722;0
3.27341e+09;1;0.0809215;0
3.28095e+09;1;0.0815809;0
3.28852e+09;1;0.0822507;0
3.2961e+09;1;0.0829312;0
3.3037e+09;1;0.0836226;0
3.31131e+09;1;0.0843251;0
3.31894e+09;1;0.0850391;0
3.3266e+09;1;0.0857648;0
3.33426e+09;1;0.0865026;0
3.34195e+09;1;0.0872527;0
3.34965e+09;1;0.0880154;0
