"acfrequency";"r Z";"i Z"
8.74935e+07;1.40211;1.82647
8.76952e+07;1.40242;1.83067
8.78973e+07;1.40274;1.83488
8.81e+07;1.40306;1.8391
8.8303e+07;1.40338;1.84333
8.85066e+07;1.40371;1.84757
8.87106e+07;1.40403;1.85182
8.89152e+07;1.40435;1.85607
8.91201e+07;1.40468;1.86034
8.93256e+07;1.40501;1.86462
8.95315e+07;1.40534;1.86891
8.97379e+07;1.40567;1.87321
8.99448e+07;1.406;1.87751
9.01521e+07;1.40634;1.88183
9.03599e+07;1.40667;1.88616
9.05682e+07;1.40701;1.8905
9.0777e+07;1.40735;1.89484
9.09863e+07;1.40769;1.8992
9.1196e+07;1.40803;1.90357
9.14063e+07;1.40838;1.90794
9.1617e+07;1.40872;1.91233
9.18282e+07;1.40907;1.91673
9.20399e+07;1.40942;1.92114
9.22521e+07;1.40977;1.92555
9.24647e+07;1.41012;1.92998
9.26779e+07;1.41048;1.93442
9.28915e+07;1.41083;1.93887
9.31057e+07;1.41119;1.94332
9.33203e+07;1.41155;1.94779
9.35355e+07;1.41191;1.95227
9.37511e+07;1.41227;1.95676
9.39672e+07;1.41263;1.96126
9.41838e+07;1.413;1.96577
9.4401e+07;1.41336;1.97028
9.46186e+07;1.41373;1.97481
9.48367e+07;1.4141;1.97935
9.50553e+07;1.41447;1.9839
9.52745e+07;1.41485;1.98847
9.54941e+07;1.41522;1.99304
9.57142e+07;1.4156;1.99762
9.59349e+07;1.41598;2.00221
9.6156e+07;1.41636;2.00681
9.63777e+07;1.41674;2.01143
9.65999e+07;1.41712;2.01605
9.68226e+07;1.41751;2.02068
9.70458e+07;1.4179;2.02533
9.72695e+07;1.41829;2.02998
9.74937e+07;1.41868;2.03465
9.77185e+07;1.41907;2.03933
9.79438e+07;1.41946;2.04401
9.81695e+07;1.41986;2.04871
9.83959e+07;1.42026;2.05342
9.86227e+07;1.42066;2.05814
9.885e+07;1.42106;2.06287
9.90779e+07;1.42147;2.06761
9.93063e+07;1.42187;2.07237
9.95352e+07;1.42228;2.07713
9.97647e+07;1.42269;2.0819
9.99947e+07;1.4231;2.08669
1.00225e+08;1.42351;2.09148
1.00456e+08;1.42393;2.09629
1.00688e+08;1.42435;2.10111
1.0092e+08;1.42476;2.10594
1.01153e+08;1.42518;2.11077
1.01386e+08;1.42561;2.11563
1.0162e+08;1.42603;2.12049
1.01854e+08;1.42646;2.12536
1.02089e+08;1.42689;2.13024
1.02324e+08;1.42732;2.13514
1.0256e+08;1.42775;2.14005
1.02796e+08;1.42819;2.14496
1.03033e+08;1.42862;2.14989
1.03271e+08;1.42906;2.15483
1.03509e+08;1.4295;2.15978
1.03747e+08;1.42994;2.16475
1.03987e+08;1.43039;2.16972
1.04226e+08;1.43084;2.1747
1.04467e+08;1.43129;2.1797
1.04707e+08;1.43174;2.18471
1.04949e+08;1.43219;2.18973
1.05191e+08;1.43264;2.19476
1.05433e+08;1.4331;2.1998
1.05676e+08;1.43356;2.20486
1.0592e+08;1.43402;2.20992
1.06164e+08;1.43449;2.215
1.06409e+08;1.43495;2.22009
1.06654e+08;1.43542;2.22519
1.069e+08;1.43589;2.2303
1.07146e+08;1.43636;2.23542
1.07393e+08;1.43684;2.24056
1.07641e+08;1.43731;2.2457
1.07889e+08;1.43779;2.25086
1.08138e+08;1.43827;2.25603
1.08387e+08;1.43875;2.26122
1.08637e+08;1.43924;2.26641
1.08887e+08;1.43973;2.27161
1.09138e+08;1.44022;2.27683
1.0939e+08;1.44071;2.28206
1.09642e+08;1.4412;2.2873
1.09895e+08;1.4417;2.29256
1.10148e+08;1.4422;2.29782
1.10402e+08;1.4427;2.3031
1.10657e+08;1.4432;2.30839
1.10912e+08;1.44371;2.31369
1.11168e+08;1.44422;2.319
1.11424e+08;1.44473;2.32433
1.11681e+08;1.44524;2.32967
1.11938e+08;1.44576;2.33502
1.12196e+08;1.44627;2.34038
1.12455e+08;1.44679;2.34575
1.12714e+08;1.44732;2.35114
1.12974e+08;1.44784;2.35654
1.13234e+08;1.44837;2.36195
1.13495e+08;1.4489;2.36737
1.13757e+08;1.44943;2.37281
1.14019e+08;1.44996;2.37826
1.14282e+08;1.4505;2.38372
1.14546e+08;1.45104;2.38919
1.1481e+08;1.45158;2.39468
1.15074e+08;1.45213;2.40018
1.1534e+08;1.45267;2.40569
1.15605e+08;1.45322;2.41121
1.15872e+08;1.45377;2.41675
1.16139e+08;1.45433;2.42229
1.16407e+08;1.45489;2.42786
1.16675e+08;1.45545;2.43343
1.16944e+08;1.45601;2.43902
1.17214e+08;1.45657;2.44461
1.17484e+08;1.45714;2.45023
1.17755e+08;1.45771;2.45585
1.18026e+08;1.45828;2.46149
1.18298e+08;1.45886;2.46714
1.18571e+08;1.45943;2.4728
1.18844e+08;1.46002;2.47848
1.19118e+08;1.4606;2.48417
1.19393e+08;1.46118;2.48987
1.19668e+08;1.46177;2.49558
1.19944e+08;1.46236;2.50131
1.20221e+08;1.46296;2.50705
1.20498e+08;1.46355;2.5128
1.20775e+08;1.46415;2.51857
1.21054e+08;1.46476;2.52435
1.21333e+08;1.46536;2.53014
1.21613e+08;1.46597;2.53595
1.21893e+08;1.46658;2.54177
1.22174e+08;1.46719;2.5476
1.22456e+08;1.46781;2.55345
1.22738e+08;1.46843;2.55931
1.23021e+08;1.46905;2.56518
1.23305e+08;1.46967;2.57107
1.23589e+08;1.4703;2.57697
1.23874e+08;1.47093;2.58288
1.24159e+08;1.47157;2.58881
1.24445e+08;1.4722;2.59475
1.24732e+08;1.47284;2.6007
1.2502e+08;1.47348;2.60667
1.25308e+08;1.47413;2.61265
1.25597e+08;1.47478;2.61864
1.25887e+08;1.47543;2.62465
1.26177e+08;1.47608;2.63067
1.26468e+08;1.47674;2.6367
1.26759e+08;1.4774;2.64275
1.27051e+08;1.47806;2.64881
1.27344e+08;1.47873;2.65489
1.27638e+08;1.4794;2.66098
1.27932e+08;1.48007;2.66708
1.28227e+08;1.48074;2.6732
1.28523e+08;1.48142;2.67933
1.28819e+08;1.48211;2.68548
1.29116e+08;1.48279;2.69164
1.29413e+08;1.48348;2.69781
1.29712e+08;1.48417;2.704
1.30011e+08;1.48486;2.7102
1.30311e+08;1.48556;2.71641
1.30611e+08;1.48626;2.72264
1.30912e+08;1.48696;2.72889
1.31214e+08;1.48767;2.73515
1.31516e+08;1.48838;2.74142
1.3182e+08;1.4891;2.7477
1.32123e+08;1.48981;2.754
1.32428e+08;1.49053;2.76032
1.32733e+08;1.49126;2.76665
1.33039e+08;1.49198;2.77299
1.33346e+08;1.49271;2.77935
1.33653e+08;1.49345;2.78572
1.33961e+08;1.49418;2.79211
1.3427e+08;1.49492;2.79851
1.3458e+08;1.49567;2.80492
1.3489e+08;1.49641;2.81136
1.35201e+08;1.49716;2.8178
1.35513e+08;1.49792;2.82426
1.35825e+08;1.49868;2.83073
1.36138e+08;1.49944;2.83722
1.36452e+08;1.5002;2.84373
1.36767e+08;1.50097;2.85024
1.37082e+08;1.50174;2.85678
1.37398e+08;1.50252;2.86332
1.37715e+08;1.50329;2.86989
1.38032e+08;1.50408;2.87646
1.3835e+08;1.50486;2.88306
1.38669e+08;1.50565;2.88966
1.38989e+08;1.50644;2.89629
1.39309e+08;1.50724;2.90292
1.3963e+08;1.50804;2.90958
1.39952e+08;1.50885;2.91624
1.40275e+08;1.50965;2.92293
1.40598e+08;1.51046;2.92962
1.40923e+08;1.51128;2.93634
1.41247e+08;1.5121;2.94306
1.41573e+08;1.51292;2.94981
1.41899e+08;1.51375;2.95656
1.42226e+08;1.51458;2.96334
1.42554e+08;1.51541;2.97013
1.42883e+08;1.51625;2.97693
1.43212e+08;1.51709;2.98375
1.43543e+08;1.51794;2.99059
1.43873e+08;1.51878;2.99744
1.44205e+08;1.51964;3.0043
1.44538e+08;1.5205;3.01118
1.44871e+08;1.52136;3.01808
1.45205e+08;1.52222;3.02499
1.45539e+08;1.52309;3.03192
1.45875e+08;1.52396;3.03887
1.46211e+08;1.52484;3.04583
1.46548e+08;1.52572;3.0528
1.46886e+08;1.52661;3.05979
1.47225e+08;1.5275;3.0668
1.47564e+08;1.52839;3.07382
1.47904e+08;1.52929;3.08086
1.48245e+08;1.53019;3.08792
1.48587e+08;1.53109;3.09499
1.4893e+08;1.532;3.10207
1.49273e+08;1.53292;3.10918
1.49617e+08;1.53384;3.11629
1.49962e+08;1.53476;3.12343
1.50308e+08;1.53568;3.13058
1.50654e+08;1.53662;3.13775
1.51001e+08;1.53755;3.14493
1.5135e+08;1.53849;3.15213
1.51698e+08;1.53943;3.15934
1.52048e+08;1.54038;3.16658
1.52399e+08;1.54133;3.17382
1.5275e+08;1.54229;3.18109
1.53102e+08;1.54325;3.18837
1.53455e+08;1.54422;3.19567
1.53809e+08;1.54519;3.20298
1.54163e+08;1.54616;3.21031
1.54519e+08;1.54714;3.21766
1.54875e+08;1.54812;3.22502
1.55232e+08;1.54911;3.2324
1.5559e+08;1.55011;3.2398
1.55949e+08;1.5511;3.24721
1.56308e+08;1.5521;3.25464
1.56668e+08;1.55311;3.26209
1.5703e+08;1.55412;3.26955
