"acfrequency";"r Z";"i Z"
8.2599e+07;-0.469225;-4.70783
8.27895e+07;-0.470182;-4.71856
8.29803e+07;-0.471005;-4.72934
8.31716e+07;-0.472252;-4.74004
8.33633e+07;-0.473366;-4.7508
8.35555e+07;-0.474346;-4.76162
8.37481e+07;-0.506246;-4.77329
8.39412e+07;-0.475184;-4.77655
8.41347e+07;-0.476459;-4.78736
8.43287e+07;-0.478319;-4.80514
8.45231e+07;-0.479611;-4.816
8.47179e+07;-0.511687;-4.82776
8.49132e+07;-0.512422;-4.83882
8.5109e+07;-0.513591;-4.84979
8.53052e+07;-0.514766;-4.86079
8.55018e+07;-0.515804;-4.87185
8.56989e+07;-0.485924;-4.8821
8.58965e+07;-0.486973;-4.8932
8.60945e+07;-0.488028;-4.90433
8.6293e+07;-0.489089;-4.91549
8.64919e+07;-0.490446;-4.9266
8.66913e+07;-0.49152;-4.9378
8.68911e+07;-0.492599;-4.94903
8.70915e+07;-0.493831;-4.96024
8.72922e+07;-0.494776;-4.97156
8.74935e+07;-0.526953;-4.98367
8.76952e+07;-0.528353;-4.99493
8.78973e+07;-0.498236;-5.0055
8.81e+07;-0.500868;-5.0289
8.8303e+07;-0.531559;-5.0291
8.85066e+07;-0.501753;-5.03966
8.87106e+07;-0.533827;-5.05197
8.89152e+07;-0.504031;-5.06258
8.91201e+07;-0.536269;-5.07491
8.93256e+07;-0.536671;-5.08161
8.95315e+07;-0.537831;-5.09315
8.97379e+07;-0.539758;-5.10957
8.99448e+07;-0.540783;-5.12121
9.01521e+07;-0.542116;-5.1328
9.03599e+07;-0.543305;-5.14445
9.05682e+07;-0.544501;-5.15612
9.0777e+07;-0.545081;-5.16288
9.09863e+07;-0.546288;-5.1746
9.1196e+07;-0.547501;-5.18634
9.14063e+07;-0.549504;-5.20305
9.1617e+07;-0.550101;-5.20986
9.18282e+07;-0.551817;-5.22672
9.20399e+07;-0.553214;-5.23854
9.22521e+07;-0.554465;-5.25042
9.24647e+07;-0.555722;-5.26232
9.26779e+07;-0.556186;-5.26925
9.28915e+07;-0.558102;-5.28626
9.31057e+07;-0.559536;-5.2982
9.33203e+07;-0.560666;-5.31025
9.35355e+07;-0.593076;-5.32315
9.37511e+07;-0.59422;-5.33526
9.39672e+07;-0.563903;-5.34132
