frequency;r S[1,1];i S[1,1];;;;;;
3,20E+13;0.00611491;-0.0490188;0.0961744;-0.29031;0.0961744;-0.29031;0.0961744;-0.29031
3,22E+14;0.00602702;-0.0481218;0.0961745;-0.29032;0.0961745;-0.29032;0.0961745;-0.29032
3,24E+14;0.00594138;-0.0472309;0.0961746;-0.29033;0.0961746;-0.29033;0.0961746;-0.29033
3,25E+14;0.00585792;-0.0463463;0.0961747;-0.29034;0.0961747;-0.29034;0.0961747;-0.29034
3,27E+14;0.00577661;-0.0454678;0.0961748;-0.29035;0.0961748;-0.29035;0.0961748;-0.29035
3,29E+14;0.00569741;-0.0445952;0.0961749;-0.29036;0.0961749;-0.29036;0.0961749;-0.29036
3,31E+14;0.00562027;-0.0437286;0.0961750;-0.29037;0.0961750;-0.29037;0.0961750;-0.29037
3,33E+14;0.00554517;-0.0428677;0.0961751;-0.29038;0.0961751;-0.29038;0.0961751;-0.29038
3,34E+14;0.00547205;-0.0420126;0.0961752;-0.29039;0.0961752;-0.29039;0.0961752;-0.29039
3,36E+14;0.00540088;-0.0411631;0.0961753;-0.29040;0.0961753;-0.29040;0.0961753;-0.29040
3,38E+14;0.00533162;-0.0403191;0.0961754;-0.29041;0.0961754;-0.29041;0.0961754;-0.29041
3,40E+13;0.00526424;-0.0394806;0.0961755;-0.29042;0.0961755;-0.29042;0.0961755;-0.29042
3,42E+14;0.00519871;-0.0386474;0.0961756;-0.29043;0.0961756;-0.29043;0.0961756;-0.29043
3,43E+14;0.00513498;-0.0378196;0.0961757;-0.29044;0.0961757;-0.29044;0.0961757;-0.29044
3,45E+14;0.00507304;-0.036997;0.0961758;-0.29045;0.0961758;-0.29045;0.0961758;-0.29045
3,47E+14;0.00501283;-0.0361795;0.0961759;-0.29046;0.0961759;-0.29046;0.0961759;-0.29046
3,49E+14;0.00495434;-0.0353671;0.0961760;-0.29047;0.0961760;-0.29047;0.0961760;-0.29047
3,51E+14;0.00489753;-0.0345596;0.0961761;-0.29048;0.0961761;-0.29048;0.0961761;-0.29048
3,53E+14;0.00484237;-0.0337571;0.0961762;-0.29049;0.0961762;-0.29049;0.0961762;-0.29049
3,54E+14;0.00478883;-0.0329594;0.0961763;-0.29050;0.0961763;-0.29050;0.0961763;-0.29050
3,56E+14;0.00473689;-0.0321666;0.0961764;-0.29051;0.0961764;-0.29051;0.0961764;-0.29051
3,58E+14;0.00468652;-0.0313784;0.0961765;-0.29052;0.0961765;-0.29052;0.0961765;-0.29052
3,60E+14;0.00463768;-0.0305948;0.0961766;-0.29053;0.0961766;-0.29053;0.0961766;-0.29053
3,62E+14;0.00459036;-0.0298158;0.0961767;-0.29054;0.0961767;-0.29054;0.0961767;-0.29054
3,63E+14;0.00454453;-0.0290413;0.0961768;-0.29055;0.0961768;-0.29055;0.0961768;-0.29055
3,65E+13;0.00450016;-0.0282713;0.0961769;-0.29056;0.0961769;-0.29056;0.0961769;-0.29056
3,67E+14;0.00445723;-0.0275057;0.0961770;-0.29057;0.0961770;-0.29057;0.0961770;-0.29057
3,69E+14;0.00441571;-0.0267443;0.0961771;-0.29058;0.0961771;-0.29058;0.0961771;-0.29058
3,71E+14;0.00437558;-0.0259872;0.0961772;-0.29059;0.0961772;-0.29059;0.0961772;-0.29059
3,72E+14;0.00433683;-0.0252344;0.0961773;-0.29060;0.0961773;-0.29060;0.0961773;-0.29060
3,74E+14;0.00429941;-0.0244856;0.0961774;-0.29061;0.0961774;-0.29061;0.0961774;-0.29061
3,76E+14;0.00426333;-0.023741;0.0961775;-0.29062;0.0961775;-0.29062;0.0961775;-0.29062
3,78E+14;0.00422854;-0.0230004;0.0961776;-0.29063;0.0961776;-0.29063;0.0961776;-0.29063
3,80E+14;0.00419504;-0.0222637;0.0961777;-0.29064;0.0961777;-0.29064;0.0961777;-0.29064
3,81E+14;0.0041628;-0.021531;0.0961778;-0.29065;0.0961778;-0.29065;0.0961778;-0.29065
3,83E+14;0.0041318;-0.0208022;0.0961779;-0.29066;0.0961779;-0.29066;0.0961779;-0.29066
3,85E+13;0.00410203;-0.0200771;0.0961780;-0.29067;0.0961780;-0.29067;0.0961780;-0.29067
3,87E+14;0.00407346;-0.0193558;0.0961781;-0.29068;0.0961781;-0.29068;0.0961781;-0.29068
3,89E+14;0.00404608;-0.0186383;0.0961782;-0.29069;0.0961782;-0.29069;0.0961782;-0.29069
3,90E+14;0.00401986;-0.0179244;0.0961783;-0.29070;0.0961783;-0.29070;0.0961783;-0.29070
3,92E+14;0.00399479;-0.0172141;0.0961784;-0.29071;0.0961784;-0.29071;0.0961784;-0.29071
3,94E+14;0.00397086;-0.0165074;0.0961785;-0.29072;0.0961785;-0.29072;0.0961785;-0.29072
3,96E+14;0.00394804;-0.0158042;0.0961786;-0.29073;0.0961786;-0.29073;0.0961786;-0.29073
3,98E+14;0.00392633;-0.0151045;0.0961787;-0.29074;0.0961787;-0.29074;0.0961787;-0.29074
3,99E+14;0.00390569;-0.0144082;0.0961788;-0.29075;0.0961788;-0.29075;0.0961788;-0.29075
4,01E+14;0.00388612;-0.0137154;0.0961789;-0.29076;0.0961789;-0.29076;0.0961789;-0.29076
4,03E+14;0.00386761;-0.0130258;0.0961790;-0.29077;0.0961790;-0.29077;0.0961790;-0.29077
4,05E+13;0.00385013;-0.0123396;0.0961791;-0.29078;0.0961791;-0.29078;0.0961791;-0.29078
4,07E+14;0.00383368;-0.0116566;0.0961792;-0.29079;0.0961792;-0.29079;0.0961792;-0.29079
4,08E+14;0.00381823;-0.0109768;0.0961793;-0.29080;0.0961793;-0.29080;0.0961793;-0.29080
4,10E+13;0.00380378;-0.0103003;0.0961794;-0.29081;0.0961794;-0.29081;0.0961794;-0.29081
4,12E+14;0.00379031;-0.00962681;0.0961795;-0.29082;0.0961795;-0.29082;0.0961795;-0.29082
4,14E+14;0.0037778;-0.00895646;0.0961796;-0.29083;0.0961796;-0.29083;0.0961796;-0.29083
4,16E+14;0.00376625;-0.00828918;0.0961797;-0.29084;0.0961797;-0.29084;0.0961797;-0.29084
4,17E+14;0.00375564;-0.00762492;0.0961798;-0.29085;0.0961798;-0.29085;0.0961798;-0.29085
4,19E+14;0.00374595;-0.00696365;0.0961799;-0.29086;0.0961799;-0.29086;0.0961799;-0.29086
4,21E+14;0.00373719;-0.00630532;0.0961800;-0.29087;0.0961800;-0.29087;0.0961800;-0.29087
4,23E+14;0.00372932;-0.00564991;0.0961801;-0.29088;0.0961801;-0.29088;0.0961801;-0.29088
4,25E+14;0.00372235;-0.00499738;0.0961802;-0.29089;0.0961802;-0.29089;0.0961802;-0.29089
4,26E+14;0.00371625;-0.00434769;0.0961803;-0.29090;0.0961803;-0.29090;0.0961803;-0.29090
4,28E+14;0.00371103;-0.0037008;0.0961804;-0.29091;0.0961804;-0.29091;0.0961804;-0.29091
4,30E+13;0.00370666;-0.0030567;0.0961805;-0.29092;0.0961805;-0.29092;0.0961805;-0.29092
4,32E+14;0.00370313;-0.00241533;0.0961806;-0.29093;0.0961806;-0.29093;0.0961806;-0.29093
4,34E+14;0.00370045;-0.00177667;0.0961807;-0.29094;0.0961807;-0.29094;0.0961807;-0.29094
4,35E+14;0.00369859;-0.00114069;0.0961808;-0.29095;0.0961808;-0.29095;0.0961808;-0.29095
